Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$0.45,0.0017,0.379%,,,,200,,
RLGT,Radiant Logistics Inc. Common Stock,$5.92,-0.08,-1.333%,278252675.00,United States,,67243,Consumer Discretionary,Oil Refining/Marketing
RVP,Retractable Technologies Inc. Common Stock,$1.09,-0.02,-1.802%,32631503.00,United States,2001,52957,Health Care,Medical/Dental Instruments
RYDE,Ryde Group Ltd. Class A Ordinary Shares,$6.86,0.18,2.695%,132962379.00,,2024,785052,Consumer Discretionary,Business Services
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$24.86,-0.001,-0.004%,1179508828.00,United States,2019,1931,Real Estate,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$2.65,-0.04,-1.487%,125732035.00,United States,2017,378019,Real Estate,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$21.465,0.215,1.012%,,United States,,2573,,
SATX,SatixFy Communications Ltd. Ordinary Share,$0.7089,-0.0011,-0.155%,58919651.00,,2022,42936,Technology,Radio And Television Broadcasting And Communications Equipment
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$0.361,0.002,0.557%,17203848.00,,2021,504310,Consumer Staples,Beverages (Production/Distribution)
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$24.98,0.06,0.241%,1185202354.00,United States,2020,1502,Real Estate,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$22.00,-0.04,-0.181%,1043813122.00,United States,,1778,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$21.90,0.02,0.091%,1039068517.00,United States,2022,3681,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,$22.10,-0.1601,-0.719%,1048557727.00,United States,2022,6508,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,$22.69,-0.04,-0.176%,1076550897.00,United States,2022,13605,Real Estate,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$1.25,-0.005,-0.398%,37989055.00,,2014,26247,Industrials,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3126.98,-15.94,-0.507%,3036469564.00,United States,1996,1339,Industrials,Farming/Seeds/Milling
SENS,Senseonics Holdings Inc. Common Stock,$0.4608,-0.0147,-3.091%,244632463.00,United States,,1018808,Industrials,Industrial Machinery/Components
SER,Serina Therapeutics Inc. Common Stock,$9.15,-0.34,-3.583%,76987084.00,,2018,6999,Health Care,Biotechnology: Pharmaceutical Preparations
SGE,Strong Global Entertainment Inc. Class A Common Voting Shares,$1.56,0.07,4.698%,12289434.00,,2023,68519,Consumer Discretionary,Industrial Machinery/Components
SGN,Signing Day Sports Inc. Common Stock,$0.1925,-0.0276,-12.54%,2960968.00,,2023,293588,Technology,EDP Services
SIF,SIFCO Industries Inc. Common Stock,$3.43,0.08,2.388%,21230726.00,United States,1969,6920,Industrials,Aerospace
SILV,SilverCrest Metals Inc. Common Shares,$9.34,-0.09,-0.954%,1375413742.00,Canada,2018,802265,Basic Materials,Precious Metals
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$29.21,0.00,0.00%,4499663096.00,Mexico,1998,569,Industrials,Steel/Iron Ore
SKYH,Sky Harbour Group Corporation Class A Common Stock,$9.63,-0.49,-4.842%,642179478.00,United States,2022,26284,Finance,Real Estate
SLI,Standard Lithium Ltd. Common Shares,$1.37,-0.06,-4.196%,251347401.00,Canada,2021,1061394,Industrials,Major Chemicals
SLND,Southland Holdings Inc. Common Stock,$3.98,-0.07,-1.728%,191142238.00,United States,,30995,Industrials,Military/Government/Technical
